Country Name,Country Code,precip_mm,agri_land_pct,cereal_yield_kgph,crop_index_2014_2016_100,irrigated_agri_pct,capture_fish_t,aquaculture_t,cereal_production_t,cereal_area_ha,fish_total_t,food_index_2014_2016_100,fertilizer_consump_pct_of_prod
Madagascar,MDG,1513.0,70.29047782743211,2975.8,108.17,,127549.669,25187.6,5144234.73,1728661.0,152737.269,105.91,
Malawi,MWI,1181.0,64.17055579126007,1944.2,135.51,,186865.36,7148.0,4022468.0,2068915.0,194013.36,146.13,
Malaysia,MYS,2875.0,26.08735352305585,3576.5,97.93,5.156924512892312,1326267.549,574182.27,2282576.1,638208.0,1900449.8190000001,102.8,148.6244414655943
Maldives,MDV,1972.0,19.666666666666664,2441.8,93.7,,155205.444,6.0,205.01,84.0,155211.444,94.49,
Mali,MLI,282.0,35.46612584925299,1671.0,133.12,,110365.91,8830.0,10289007.59,6157560.0,119195.91,136.03,
Malta,MLT,560.0,27.34375,,53.79,44.46857142857143,2809.271,18050.539,0.0,0.0,20859.81,75.95,
Marshall Islands,MHL,,38.88888888888889,,90.84,,91636.299,25.84,,,91662.139,90.84,
Mauritania,MRT,92.0,38.52721451440768,1522.2,145.03,,780382.798,0.0,552408.65,362903.0,780382.798,116.51,
Mauritius,MUS,2041.0,43.064596895343016,9247.2,67.76,16.627906976744185,33660.613,1545.3,823.0,89.0,35205.913,84.4,
Mexico,MEX,758.0,50.87012268834074,3950.2,115.12,6.312129334943557,1683375.783,289618.536,36330006.75,9196992.0,1972994.3190000001,117.03,372.00045743881606
"Micronesia, Fed. Sts.",FSM,,7.142857142857142,1711.5,125.71,,178235.339,0.5,290.32,170.0,178235.839,121.63,
Moldova,MDA,450.0,74.96958637469587,2127.9,93.04,8.72210953346856,0.0,12910.0,1758059.0,826184.0,12910.0,89.67,
Monaco,MCO,,,,,,1.0,0.0,,,1.0,,
Mongolia,MNG,241.0,71.90965066034889,1113.2,122.9,0.07142857142857142,0.0,0.0,428648.86,385063.0,0.0,157.87,
Montenegro,MNE,,18.88475836431227,3216.6,89.55,,809.0,1087.0,6605.9,2054.0,1896.0,100.56,
Morocco,MAR,346.0,65.80912189110464,943.3,106.83,,1573512.839,2385.93,3511452.59,3722474.0,1575898.7689999999,106.07,5.66780991093986
Mozambique,MOZ,1032.0,52.772618835677406,1162.8,157.47,,443945.275,5547.0,2832309.0,2435693.0,449492.275,161.67,
Myanmar,MMR,2091.0,19.887538878759557,3799.2,94.24,,1714230.0,1197078.002,30712269.85,8083825.0,2911308.0020000003,76.96,
Namibia,NAM,285.0,47.14256215914198,487.8,116.27,,382309.529,340.0,168181.0,344772.0,382649.529,100.53,
Nauru,NRU,,20.0,,102.69,,106750.0,0.5,,,106750.5,99.71,
Nepal,NPL,1500.0,26.12138123474015,3218.5,116.66,32.287354787020966,21000.0,87385.0,11128373.0,3457671.0,108385.0,123.18,
Netherlands,NLD,778.0,53.57885357885358,8885.1,100.37,,299702.694,38477.0,1647300.0,185400.0,338179.694,101.0,14.642891829549592
New Caledonia,NCL,,10.067286652078774,9968.0,94.33,,3709.381,1479.0,4247.0,426.0,5188.380999999999,94.76,
New Zealand,NZL,1732.0,37.017204056055604,8385.0,108.2,,346825.083,106152.0,969775.44,115655.0,452977.083,100.57,305.15948124780937
Nicaragua,NIC,2280.0,42.305135449559586,2358.9,130.79,,53732.32,31568.5,949096.63,402346.0,85300.82,127.92,
Niger,NER,151.0,36.78779505802479,557.4,137.93,0.6182136564869278,47670.0,500.0,5923855.12,10627065.0,48170.0,132.61,
Nigeria,NGA,1150.0,75.9658687703811,1659.7,120.89,,784124.0,259106.0,30317107.11,18267129.0,1043230.0,119.85,21.122344803557787
North Macedonia,MKD,619.0,49.84139571768438,3472.1,102.74,,447.0,1814.2,542163.65,156150.0,2261.2,100.68,
Northern Mariana Islands,MNP,,1.1739130434782608,,,,162.419,41.0,,,203.419,,
Norway,NOR,1414.0,2.704038213413128,4728.0,101.79,,2616115.399,1661740.372,1325000.0,280246.0,4277855.771,102.72,18.138852965446382
Oman,OMN,125.0,4.737382875605816,35157.2,161.69,7.3044972787167,748357.443,3471.0,236293.0,6721.0,751828.443,170.06,3.029802998930094
Pakistan,PAK,494.0,46.63112287256123,3463.0,104.13,54.02397974796228,500045.256,166200.0,48519329.0,14010820.0,666245.256,122.43,107.06166661242831
Palau,PLW,,9.347826086956522,,,,813.06,10.0,,,823.06,,
Panama,PAN,2928.0,29.405715826368294,3621.3,130.95,1.8084495781445695,190243.947,11847.21,573009.0,158231.0,202091.15699999998,115.45,
Papua New Guinea,PNG,3142.0,3.1025040851477277,4825.9,99.03,,244612.051,2462.0,18799.35,3896.0,247074.051,100.55,
Paraguay,PRY,1130.0,54.1069405157129,3505.3,74.78,0.4831847668829047,17905.0,20000.0,6683286.48,1906644.0,37905.0,85.44,
Peru,PER,1738.0,19.05121875,4638.7,130.74,,5368101.711,140930.627,5628306.27,1213332.0,5509032.338,128.07,
Philippines,PHL,2348.0,42.39259482845357,3821.5,103.98,,1771247.273,2349252.015,28012590.81,7330167.0,4120499.288,100.51,198.6037601509637
Poland,POL,600.0,46.313175863308174,4861.5,110.01,,172523.358,42201.499,34987760.0,7196910.0,214724.85700000002,111.71,74.69845806393587
Portugal,PRT,854.0,42.78949649366414,5137.4,113.88,14.811260645588407,159890.59,18896.0,1018080.0,198170.0,178786.59,110.34,101.51774873283826
Post-demographic dividend,PST,,33.78371470306315,5871.242283793284,,,14312739.57,4527564.15,845048898.69,143930242.0,18838803.720000003,,72.21862207057951
Pre-demographic dividend,PRE,,43.25502224647829,1366.040740374513,,,5880366.220000001,708578.3,133810467.41,97955614.0,5759628.390000001,,170.00593130795835
Puerto Rico (US),PRI,2054.0,19.041713641488162,3308.0,107.53,,2150.347,11.0,3566.0,1078.0,2161.347,95.25,
Qatar,QAT,74.0,6.440382941688425,11242.0,153.35,17.56756756756757,18439.0,97.845,1193.9,106.0,18536.845,145.71,0.19474253068787153
Romania,ROU,637.0,55.10257301808067,3634.1,85.41,4.164694746805489,6256.436,11210.78,18860480.0,5189930.0,17467.216,85.18,455.99921985577794
Russian Federation,RUS,460.0,13.158436257966265,3428.8,133.67,,4997077.0,348187.0,153095542.78,44650228.0,5345264.0,126.44,14.56473618767532
Rwanda,RWA,1212.0,80.03677746250507,1510.7,123.19,,32735.0,6202.0,807219.18,534338.0,38937.0,117.31,
Samoa,WSM,2880.0,17.77338129496403,,84.07,,9589.25,10.0,,,9599.25,83.05,
San Marino,SMR,,38.333333333333336,,,,0.0,0.0,,,0.0,,
Sao Tome and Principe,STP,3200.0,44.79166666666667,2004.3,107.39,,5703.38,0.0,780.65,389.0,5703.38,107.25,
Senegal,SEN,686.0,49.400093491923336,1931.9,189.93,,505896.212,1739.1,3663690.0,1896411.0,507635.312,177.49,438.17245640787155
Serbia,SRB,,41.253418955880605,4637.8,94.58,1.5854713173825312,2379.0,5776.47,8036910.36,1732899.0,8155.47,98.37,212.85938810742607
Seychelles,SYC,2330.0,3.369565217391304,,101.78,,137842.167,0.0,,,137842.167,149.83,
Sierra Leone,SLE,2526.0,54.710446106954834,1963.1,105.75,,215140.0,160.0,1528291.53,778513.0,215300.0,104.72,
Singapore,SGP,2497.0,0.9192200557103064,,90.86,,2005.405,4745.21,,,6750.615,131.01,
Sint Maarten (Dutch part),SXM,,,,,,253.0,0.0,,,253.0,,
Slovak Republic,SVK,824.0,38.4567387687188,4754.5,85.0,1.400757166035695,1895.0,2614.0,3382800.0,711490.0,4509.0,86.15,64.13466796239558
Slovenia,SVN,1162.0,30.329155161796546,5564.5,81.75,0.8121561435682474,286.268,1643.7,576200.0,103550.0,1929.968,94.0,
Solomon Islands,SLB,3028.0,3.8335119685602,1899.1,108.0,,47895.082,11879.3,2747.77,1447.0,59774.382,100.49,
"Somalia, Fed. Rep.",SOM,282.0,70.34303567443492,396.0,101.37,,30000.0,0.0,140056.33,353638.0,30000.0,98.94,
South Sudan,SSD,900.0,44.708591141423895,1055.7,117.91,,46000.0,47.0,1063299.0,1007211.0,46047.0,114.76,
Spain,ESP,636.0,53.3572810066811,3307.4,87.04,14.256450160584205,809104.94,273065.807,19292230.0,5832980.0,1082170.747,98.83,84.79795044108108
Sri Lanka,LKA,1712.0,45.457484642741676,3033.2,95.73,,332337.722,59080.29,3663231.0,1207727.0,391418.012,99.24,1461.3960285466374
St. Kitts and Nevis,KNA,1427.0,23.076923076923077,,108.37,,670.0,4.0,,,674.0,115.11,
